,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
samp_rand_effs[23],0.1,0.096,-0.08,0.281,0.001,0.0,28355.0,21773.0,1.0
samp_rand_effs[24],-0.015,0.102,-0.208,0.176,0.001,0.001,30313.0,22072.0,1.0
samp_rand_effs[25],-0.11,0.098,-0.299,0.073,0.001,0.0,31303.0,22365.0,1.0
samp_rand_effs[26],0.131,0.097,-0.048,0.317,0.001,0.0,29328.0,22373.0,1.0
samp_rand_effs[27],0.014,0.097,-0.173,0.195,0.001,0.001,28508.0,21257.0,1.0
samp_rand_effs[28],0.118,0.104,-0.077,0.313,0.001,0.001,9526.0,20890.0,1.0
samp_rand_effs[29],0.078,0.096,-0.099,0.261,0.001,0.0,29655.0,21666.0,1.0
samp_rand_effs[30],-0.077,0.094,-0.252,0.105,0.001,0.0,29077.0,21335.0,1.0
samp_rand_effs[31],0.046,0.096,-0.128,0.235,0.001,0.001,29624.0,22199.0,1.0
samp_rand_effs[32],0.085,0.102,-0.106,0.278,0.001,0.001,28374.0,18908.0,1.0
samp_rand_effs[33],0.164,0.095,-0.013,0.348,0.001,0.0,29310.0,21606.0,1.0
samp_rand_effs[34],-0.025,0.102,-0.224,0.162,0.001,0.001,30571.0,21735.0,1.0
samp_rand_effs[35],-0.081,0.097,-0.259,0.107,0.001,0.0,28797.0,20787.0,1.0
primer_intercepts[0],19.05,0.12,18.821,19.275,0.002,0.001,4694.0,7232.0,1.0
primer_intercepts[1],13.81,0.122,13.578,14.037,0.002,0.001,4754.0,7350.0,1.0
primer_intercepts[2],18.729,0.12,18.499,18.95,0.002,0.001,4770.0,7264.0,1.0
primer_intercepts[3],18.125,0.118,17.901,18.347,0.002,0.001,4784.0,7357.0,1.0
primer_intercepts[4],14.257,0.119,14.03,14.478,0.002,0.001,4688.0,7273.0,1.0
primer_intercepts[5],13.811,0.118,13.584,14.028,0.002,0.001,4644.0,7295.0,1.0
primer_intercepts[6],13.204,0.118,12.979,13.428,0.002,0.001,4688.0,7324.0,1.0
primer_intercepts[7],13.833,0.121,13.606,14.061,0.002,0.001,4773.0,7135.0,1.0
primer_intercepts[8],13.861,0.12,13.627,14.082,0.002,0.001,4809.0,6868.0,1.0
primer_intercepts[9],13.671,0.118,13.45,13.895,0.002,0.001,4660.0,7051.0,1.0
primer_intercepts[10],14.06,0.12,13.832,14.285,0.002,0.001,4768.0,7226.0,1.0
primer_intercepts[11],17.48,0.128,17.232,17.714,0.002,0.001,5112.0,7970.0,1.0
ct_sigma,0.105,0.009,0.089,0.121,0.0,0.0,13957.0,19461.0,1.0
ct_nu,1.306,0.111,1.103,1.518,0.001,0.0,25594.0,22257.0,1.0
dil_raneff_sigma,0.351,0.055,0.249,0.449,0.0,0.0,23075.0,23532.0,1.0
sample_intercepts[0],10.948,1.465,8.261,13.723,0.019,0.013,6257.0,10225.0,1.01
sample_intercepts[1],6.533,0.15,6.243,6.808,0.002,0.001,6468.0,10138.0,1.0
sample_intercepts[2],6.948,0.15,6.664,7.224,0.002,0.001,6588.0,10534.0,1.0
sample_intercepts[3],10.665,1.464,7.94,13.396,0.018,0.013,6264.0,10481.0,1.01
sample_intercepts[4],7.016,0.149,6.74,7.301,0.002,0.001,6537.0,10622.0,1.0
sample_intercepts[5],10.223,2.056,6.359,14.068,0.026,0.019,6078.0,10111.0,1.0
sample_intercepts[6],8.053,2.055,4.102,11.822,0.026,0.018,6376.0,10852.0,1.0
sample_intercepts[7],9.669,2.057,5.888,13.605,0.026,0.019,6098.0,10146.0,1.0
sample_intercepts[8],11.076,2.056,7.178,14.893,0.026,0.018,6401.0,10784.0,1.0
sample_intercepts[9],6.682,0.149,6.408,6.971,0.002,0.001,6623.0,11012.0,1.0
sample_intercepts[10],6.892,0.149,6.607,7.168,0.002,0.001,6493.0,10584.0,1.0
sample_intercepts[11],6.839,0.149,6.563,7.124,0.002,0.001,6430.0,11244.0,1.0
samp_raneff_sigma,0.155,0.028,0.107,0.209,0.0,0.0,10404.0,18735.0,1.0
